'EM, ə m
DETAILING, d ɪ t ˈeɪ l ɪ ŋ
DETAILS, d ˈiː t eɪ l z
DETAIN, d ɪ t ˈeɪ n
DETAINED, d ɪ t ˈeɪ n d
DETAINING, d ɪ t ˈeɪ n ɪ ŋ
DETECT, d ɪ t ˈɛ k t
DETECTED, d ɪ t ˈɛ k t ɪ d
DETECTING, d ɪ t ˈɛ k t ɪ ŋ
DETECTIVE, d ɪ t ˈɛ k t ɪ v
DETECTIVE'S, d ɪ t ˈɛ k t ɪ v z
DETECTIVES, d ɪ t ˈɛ k t ɪ v z
DETECTS, d ɪ t ˈɛ k t s
DETENTION, d ɪ t ˈɛ n ʃ ə n
DETERMINATION, d ɪ t ˌɜː m ɪ n ˈeɪ ʃ ə n
DETERMINE, d ɪ t ˈɜː m ɪ n
DETERMINED, d ɪ t ˈɜː m ɪ n d
DETEST, d ɪ t ˈɛ s t
DETESTED, d ɪ t ˈɛ s t ɪ d
DETHLEFS, d ˈɛ θ l ɪ f s
DETTLING, d ˈɛ t l ɪ ŋ
DEV, d ˈɛ v
DEVANE, d ɪ v ˈeɪ n
DEVELOP, d ɪ v ˈɛ l ə p
DEVELOPED, d ɪ v ˈɛ l ə p t
DEVELOPING, d ɪ v ˈɛ l ə p ɪ ŋ
DEVELOPMENT, d ɪ v ˈɛ l ə p m ə n t
DEVELOPMENTS, d ɪ v ˈɛ l ə p m ə n t s
DEVEY, d ɪ v ˈeɪ
DEVICE, d ɪ v ˈaɪ s
DEVICE'S, d ɪ v ˈaɪ s ɪ z
DEVICES, d ɪ v ˈaɪ s ɪ z
DEVIL, d ˈɛ v ə l
DEVILBISS, d ɪ v ˈɪ l b ɪ s
DEVILBISS, d ˈɛ v ɪ l b ɪ s
DEVILISH, d ˈɛ v l ɪ ʃ
DEVIN, d ˈɛ v ɪ n
DEVINS, d ˈɛ v ɪ n z
DEVISE, d ɪ v ˈaɪ s
DEVISE, d ɪ v ˈaɪ z
DEVISED, d ɪ v ˈaɪ z d
DEVISES, d ɪ v ˈaɪ z ɪ z
DEVISING, d ɪ v ˈaɪ z ɪ ŋ
DEVITT, d ɪ v ˈɪ t
DEVLIN, d ˈɛ v l ɪ n
DEVON, d ˈɛ v ə n
DEWAYNE, d ɪ w ˈeɪ n
DEWEISS, d ɪ w ˈaɪ s
DEWELL, d ˈɛ w ɛ l
DEWITZ, d ˈɛ w ɪ t s
DEX, d ˈɛ k s
DEY, d ˈeɪ
DHEIN, d ˈaɪ n
DI, d ˈaɪ
DI, d ˈiː
DI'S, d ˈaɪ z
DIAGNOSIS, d ˌaɪ ə g n ˈəʊ s ɪ s
DIAGRAM, d ˈaɪ ə g ɹ ˌæ m
DIAL, d ˈaɪ l
DIAL'S, d ˈaɪ l z
DIALING, d ˈaɪ l ɪ ŋ
DIALOGUE, d ˈaɪ ə l ˌɒ g
DIALS, d ˈaɪ l z
DIAMOND, d ˈaɪ ə m ə n d
DIAMONDS, d ˈaɪ ə m ə n d z
DIANA, d aɪ ˈæ n ə
DIANE, d aɪ ˈæ n
DIARY, d ˈaɪ ə ɹ iː
DIBB, d ˈɪ b
DIBS, d ˈɪ b z
DIC, d ˈɪ k
DICE, d ˈaɪ s
DICED, d ˈaɪ s t
DICING, d ˈaɪ s ɪ ŋ
DICK, d ˈɪ k
DICK'S, d ˈɪ k s
DICKE, d ˈɪ k
DICKES, d ˈɪ k s
DICKHEAD, d ˈɪ k h ˌɛ d
DICKS, d ˈɪ k s
DICKSTEIN, d ˈɪ k s t aɪ n
DICKSTEIN'S, d ˈɪ k s t ˌaɪ n z
DICTATE, d ɪ k t ˈeɪ t
DICTATE, d ˈɪ k t ˌeɪ t
DICTATED, d ˈɪ k t ˌeɪ t ɪ d
DICTATES, d ɪ k t ˈeɪ t s
DICTATES, d ˈɪ k t ˌeɪ t s
DICTATING, d ˈɪ k t ˌeɪ t ɪ ŋ
DICTIONARY, d ˈɪ k ʃ ə n ə ɹ iː
DID, d ɪ d
DID, d ˈɪ d
DIDN'T, d ˈɪ d n t
DIDN'T, d ˈɪ n t
DIE, d ˈaɪ
DIED, d ˈaɪ d
DIEGUEZ, d ɪ g ˈɛ z
DIES, d ˈaɪ z
DIESES, d ˈaɪ z ɪ z
DIET, d ˈaɪ ə t
DIETS, d ˈaɪ ɪ t s
DIF, d ˈɪ f
DIFELICE, d ɪ f ˈɛ l ɪ s
DIFF, d ˈɪ f
DIFFERENCE, d ˈɪ f ə ɹ ə n s
DIFFERENCE, d ˈɪ f ɹ ə n s
DIFFERENCES, d ˈɪ f ə ɹ ə n s ɪ z
DIFFERENCES, d ˈɪ f ɹ ə n s ɪ z
DIFFERENT, d ˈɪ f ə ɹ ə n t
DIFFERENT, d ˈɪ f ɹ ə n t
DIFFERENTLY, d ˈɪ f ə ɹ ə n t l iː
DIFFERENTLY, d ˈɪ f ɹ ə n t l iː
DIFFICULT, d ˈɪ f ɪ k ə l t
DIFFICULTIES, d ˈɪ f ɪ k ə l t iː z
DIFFICULTY, d ˈɪ f ɪ k ə l t iː
DIFFIN, d ˈɪ f ɪ n
DIG, d ˈɪ g
DIGATE, d ˈaɪ g ˌeɪ t
DIGEST, d aɪ dʒ ˈɛ s t
DIGEST, d ˈaɪ dʒ ɛ s t
DIGEST'S, d ˈaɪ dʒ ˌɛ s t s
DIGESTED, d ˈaɪ dʒ ˌɛ s t ɪ d
DIGESTING, d aɪ dʒ ˈɛ s t ɪ ŋ
DIGESTING, d ˈaɪ dʒ ˌɛ s t ɪ ŋ
DIGESTIVE, d aɪ dʒ ˈɛ s t ɪ v
DIGESTS, d ˈaɪ dʒ ɛ s
DIGESTS, d ˈaɪ dʒ ɛ s t s
DIGGER, d ˈɪ g ə
DIGGES, d ˈɪ g z
DIGGING, d ˈɪ g ɪ ŋ
DIGGINS, d ˈɪ g ɪ n z
DIGGS, d ˈɪ g z
DIGIDYNE, d ˈɪ dʒ ɪ d ˌaɪ n
DIGIT, d ˈɪ dʒ ɪ t
DIGITAL, d ˈɪ dʒ ɪ t ə l
DIGITS, d ˈɪ dʒ ɪ t s
DIGS, d ˈɪ g z
DIKE, d ˈaɪ k
DIKES, d ˈaɪ k s
DILATE, d aɪ l ˈeɪ t
DILBECK, d ˈɪ l b ˌɛ k
DILDAY, d ˈɪ l d ˌeɪ
DILES, d ˈaɪ l z
DILG, d ˈɪ l g
DILIP, d ˈɪ l ɪ p
DILKS, d ˈɪ l k s
DILL, d ˈɪ l
DILLE, d ˈɪ l
DILLEHAY, d ˈɪ l ɪ h eɪ
DILLIN, d ˈɪ l ɪ n
DILLING, d ˈɪ l ɪ ŋ
DILLS, d ˈɪ l z
DILS, d ˈɪ l z
DILTS, d ˈɪ l t s
DILTZ, d ˈɪ l t s
DIM, d ˈɪ m
DIME, d ˈaɪ m
DIME'S, d ˈaɪ m z
DIMENSION, d aɪ m ˈɛ n ʃ ə n
DIMENSION, d ɪ m ˈɛ n ʃ ə n
DIMES, d ˈaɪ m z
DIMICK, d ˈɪ m ɪ k
DIMICK'S, d ˈɪ m ɪ k s
DIMING, d ˈaɪ m ɪ ŋ
DIMINISH, d ɪ m ˈɪ n ɪ ʃ
DIMINISHED, d ɪ m ˈɪ n ɪ ʃ t
DIMINISHES, d ɪ m ˈɪ n ɪ ʃ ɪ z
DIMINISHING, d ɪ m ˈɪ n ɪ ʃ ɪ ŋ
DIMMED, d ˈɪ m d
DIMMICK, d ˈɪ m ɪ k
DIMMING, d ˈɪ m ɪ ŋ
DIMMITT, d ˈɪ m ɪ t
DIMS, d ˈɪ m z
DIMSDALE, d ˈɪ m z d ˌeɪ l
DIN, d ˈɪ n
DINDA, d ˈɪ n d ə
DINE, d ˈaɪ n
DINED, d ˈaɪ n d
DINES, d ˈaɪ n z
DINESH, d ˈɪ n ɛ ʃ
DING, d ˈɪ ŋ
DINGES, d ˈɪ n dʒ ɪ z
DINGESS, d ˈɪ ŋ g ɪ s
DINGS, d ˈɪ ŋ z
DINGUS, d ˈɪ ŋ g ɪ s
DINH, d ˈɪ n
DINING, d ˈaɪ n ɪ ŋ
DINK, d ˈɪ ŋ k
DINKINS, d ˈɪ ŋ k ɪ n z
DINKINS', d ˈɪ ŋ k ɪ n z
DINNER, d ˈɪ n ə
DINNERS, d ˈɪ n ə z
DINNING, d ˈɪ n ɪ ŋ
DINSDALE, d ˈɪ n z d ˌeɪ l
DINSE, d ˈɪ n s
DINT, d ˈɪ n t
DIP, d ˈɪ p
DIPLOMA, d ɪ p l ˈəʊ m ə
DIPLOMATIC, d ˌɪ p l ə m ˈæ t ɪ k
DIPPED, d ˈɪ p t
DIPPING, d ˈɪ p ɪ ŋ
DIPS, d ˈɪ p s
DIPSHIT, d ˈɪ p ʃ ˌɪ t
DIPSTICK, d ˈɪ p s t ˌɪ k
DIRECT, d aɪ ɹ ˈɛ k t
DIRECT, d ɪ ɹ ˈɛ k t
DIRECTED, d aɪ ɹ ˈɛ k t ɪ d
DIRECTED, d ɪ ɹ ˈɛ k t ɪ d
DIRECTION, d aɪ ɹ ˈɛ k ʃ ə n
DIRECTION, d ɪ ɹ ˈɛ k ʃ ə n
DIRECTIONS, d aɪ ɹ ˈɛ k ʃ ə n z
DIRECTIONS, d ɪ ɹ ˈɛ k ʃ ə n z
DIRECTIVE, d aɪ ɹ ˈɛ k t ɪ v
DIRECTIVE, d ɪ ɹ ˈɛ k t ɪ v
DIRECTLY, d aɪ ɹ ˈɛ k t l iː
DIRECTLY, d ɪ ɹ ˈɛ k t l iː
DIRECTOR, d aɪ ɹ ˈɛ k t ə
DIRECTOR, d ɪ ɹ ˈɛ k t ə
DIRECTORS, d aɪ ɹ ˈɛ k t ə z
DIRECTORS, d ɪ ɹ ˈɛ k t ə z
DIRECTORY, d aɪ ɹ ˈɛ k t ə ɹ iː
DIRECTORY, d ɪ ɹ ˈɛ k t ə ɹ iː
DIRT, d ˈɜː t
DIRTY, d ˈɜː t iː
DIS, d ˈɪ s
DISABLED, d ɪ s ˈeɪ b ə l d
DISABLING, d ˌɪ s ˈeɪ b l ɪ ŋ
DISAPPOINTED, d ˌɪ s ə p ˈɔɪ n t ɪ d
DISAPPOINTMENT, d ˌɪ s ə p ˈɔɪ n t m ə n t
DISASTER, d ɪ z ˈɑː s t ə
DISC, d ˈɪ s k
DISCH, d ˈɪ ʃ
DISCIPLINE, d ˈɪ s ə p l ɪ n
DISCLAIM, d ɪ s k l ˈeɪ m
DISCLAIMED, d ɪ s k l ˈeɪ m d
DISCLAIMING, d ɪ s k l ˈeɪ m ɪ ŋ
DISCLAIMS, d ɪ s k l ˈeɪ m z
DISCO, d ˈɪ s k əʊ
DISCOUNT, d ɪ s k ˈaʊ n t
DISCOUNT, d ˈɪ s k aʊ n t
DISCOURSE, d ˈɪ s k ɔː s
DISCOVER, d ɪ s k ˈɐ v ə
DISCOVERED, d ɪ s k ˈɐ v ə d
DISCOVERY, d ɪ s k ˈɐ v ə ɹ iː
DISCOVERY, d ɪ s k ˈɐ v ɹ iː
DISCRETION, d ɪ s k ɹ ˈɛ ʃ ə n
DISCRIMINATION, d ɪ s k ɹ ˌɪ m ɪ n ˈeɪ ʃ ə n
DISCS, d ˈɪ s k s
DISCUSS, d ɪ s k ˈɐ s
DISCUSSED, d ɪ s k ˈɐ s t
DISCUSSING, d ɪ s k ˈɐ s ɪ ŋ
DISCUSSION, d ɪ s k ˈɐ ʃ ə n
DISCUSSIONS, d ɪ s k ˈɐ ʃ ə n z
DISDAIN, d ɪ s d ˈeɪ n
DISDAINED, d ɪ s d ˈeɪ n d
DISDAINING, d ɪ s d ˈeɪ n ɪ ŋ
DISDAINS, d ɪ s d ˈeɪ n z
DISE, d ˈaɪ s
DISE, d ˈaɪ z
DISEASE, d ɪ z ˈiː z
DISEASES, d ɪ z ˈiː z ɪ z
DISENGAGE, d ɪ s ɪ n g ˈeɪ dʒ
DISENGAGED, d ɪ s ɪ n g ˈeɪ dʒ d
DISENGAGING, d ɪ s ɪ n g ˈeɪ dʒ ɪ ŋ
DISGUISE, d ɪ s g ˈaɪ z
DISGUISED, d ɪ s g ˈaɪ z d
DISGUISES, d ɪ s g ˈaɪ z ɪ z
DISGUISING, d ɪ s g ˈaɪ z ɪ ŋ
DISGUSTING, d ɪ s g ˈɐ s t ɪ ŋ
DISH, d ˈɪ ʃ
DISHED, d ˈɪ ʃ t
DISHES, d ˈɪ ʃ ɪ z
DISHING, d ˈɪ ʃ ɪ ŋ
DISHWASHER, d ˈɪ ʃ w ˌɒ ʃ ə
DISINCLINE, d ˌɪ s ɪ n k l ˈaɪ n
DISINCLINED, d ˌɪ s ɪ n k l ˈaɪ n d
DISINFECT, d ɪ s ɪ n f ˈɛ k t
DISINFLATE, d ˌɪ s ɪ n f l ˈeɪ t
DISINVITE, d ɪ s ɪ n v ˈaɪ t
DISINVITED, d ˌɪ s ˌɪ n v ˈaɪ t ɪ d
DISK, d ˈɪ s k
DISKETTE, d ɪ s k ˈɛ t
DISKETTES, d ɪ s k ˈɛ t s
DISKIN, d ˈɪ s k ɪ n
DISKS, d ˈɪ s k s
DISLIKE, d ɪ s l ˈaɪ k
DISLIKED, d ɪ s l ˈaɪ k t
DISLIKES, d ɪ s l ˈaɪ k s
DISLIKING, d ɪ s l ˈaɪ k ɪ ŋ
DISMAY, d ɪ s m ˈeɪ
DISMAYED, d ɪ s m ˈeɪ d
DISMAYING, d ɪ s m ˈeɪ ɪ ŋ
DISMAYS, d ɪ s m ˈeɪ z
DISMISS, d ɪ s m ˈɪ s
DISMISSAL, d ɪ s m ˈɪ s ə l
DISMISSED, d ɪ s m ˈɪ s t
DISMISSES, d ɪ s m ˈɪ s ɪ z
DISMISSING, d ɪ s m ˈɪ s ɪ ŋ
DISMISSIVE, d ɪ s m ˈɪ s ɪ v
DISNEY, d ˈɪ z n iː
DISPEL, d ɪ s p ˈɛ l
DISPELL, d ɪ s p ˈɛ l
DISPELLED, d ɪ s p ˈɛ l d
DISPELLING, d ɪ s p ˈɛ l ɪ ŋ
DISPELS, d ɪ s p ˈɛ l z
DISPENSE, d ɪ s p ˈɛ n s
DISPENSED, d ɪ s p ˈɛ n s t
DISPENSES, d ɪ s p ˈɛ n s ɪ z
DISPENSING, d ɪ s p ˈɛ n s ɪ ŋ
DISPLACE, d ɪ s p l ˈeɪ s
DISPLACED, d ɪ s p l ˈeɪ s t
DISPLACES, d ɪ s p l ˈeɪ s ɪ z
DISPLACING, d ɪ s p l ˈeɪ s ɪ ŋ
DISPLAY, d ɪ s p l ˈeɪ
DISPLAYED, d ɪ s p l ˈeɪ d
DISPLAYING, d ɪ s p l ˈeɪ ɪ ŋ
DISPLAYS, d ɪ s p l ˈeɪ z
DISPOSAL, d ɪ s p ˈəʊ z ə l
DISPUTE, d ɪ s p ˈjuː t
DISQUE, d ˈɪ s k
DISS, d ˈɪ s
DISSECT, d aɪ s ˈɛ k t
DISSECTING, d aɪ s ˈɛ k t ɪ ŋ
DISSECTS, d aɪ s ˈɛ k s
DISSECTS, d aɪ s ˈɛ k t s
DISSEMBLING, d ɪ s ˈɛ m b l ɪ ŋ
DISSENT, d ɪ s ˈɛ n t
DISSENTS, d ɪ s ˈɛ n t s
DISSING, d ˈɪ s ɪ ŋ
DISSUADE, d ɪ s w ˈeɪ d
DISSUADED, d ɪ s w ˈeɪ d ɪ d
DISTANCE, d ˈɪ s t ə n s
DISTANT, d ˈɪ s t ə n t
DISTASTE, d ɪ s t ˈeɪ s t
DISTEND, d ɪ s t ˈɛ n d
DISTENDED, d ɪ s t ˈɛ n d ɪ d
DISTIL, d ɪ s t ˈɪ l
DISTILL, d ɪ s t ˈɪ l
DISTILLED, d ɪ s t ˈɪ l d
DISTILLING, d ɪ s t ˈɪ l ɪ ŋ
DISTILLS, d ɪ s t ˈɪ l z
DISTINCT, d ɪ s t ˈɪ ŋ k t
DISTINCTION, d ɪ s t ˈɪ ŋ k ʃ ə n
DISTINCTIVE, d ɪ s t ˈɪ ŋ k t ɪ v
DISTINGUISH, d ɪ s t ˈɪ ŋ g w ɪ ʃ
DISTINGUISHED, d ɪ s t ˈɪ ŋ g w ɪ ʃ t
DISTINGUISHES, d ɪ s t ˈɪ ŋ g w ɪ ʃ ɪ z
DISTINGUISHING, d ɪ s t ˈɪ ŋ g w ɪ ʃ ɪ ŋ
DISTRIBUTION, d ˌɪ s t ɹ ɪ b ˈjuː ʃ ə n
DISTRICT, d ˈɪ s t ɹ ɪ k t
DISTRICTS, d ˈɪ s t ɹ ɪ k t s
DITCH, d ˈɪ tʃ
DITCHED, d ˈɪ tʃ t
DITCHES, d ˈɪ tʃ ɪ z
DITCHING, d ˈɪ tʃ ɪ ŋ
DITH, d ˈɪ θ
DIVE, d ˈaɪ v
DIVED, d ˈaɪ v d
DIVELBISS, d ɪ v ˈɛ l b ɪ s
DIVES, d ˈaɪ v z
DIVEST, d aɪ v ˈɛ s t
DIVEST, d ɪ v ˈɛ s t
DIVESTED, d aɪ v ˈɛ s t ɪ d
DIVESTING, d aɪ v ˈɛ s t ɪ ŋ
DIVESTS, d aɪ v ˈɛ s t s
DIVIDE, d ɪ v ˈaɪ d
DIVIDED, d ɪ v ˈaɪ d ɪ d
DIVIDEND, d ˈɪ v ɪ d ˌɛ n d
DIVIDES, d ɪ v ˈaɪ d z
DIVIDING, d ɪ v ˈaɪ d ɪ ŋ
DIVINE, d ɪ v ˈaɪ n
DIVING, d ˈaɪ v ɪ ŋ
DIVISION, d ɪ v ˈɪ ʒ ə n
DIVISIONS, d ɪ v ˈɪ ʒ ə n z
DIVISIVE, d ɪ v ˈaɪ s ɪ v
DIVORCE, d ɪ v ˈɔː s
DIX, d ˈɪ k s
DIXVILLE, d ˈɪ k s v ɪ l
DO, d ˈuː
DOCTOR, d ˈɒ k t ə
DOCTOR, d ˈɒ k t ə
DOCTORS, d ˈɒ k t ə z
DOCTRINE, d ˈɒ k t ɹ ɪ n
DOCUMENT, d ˈɒ k jʊ m ɛ n t
DOCUMENT, d ˈɒ k jʊ m ɛ n t
DOCUMENTS, d ˈɒ k jʊ m ə n t s
DOCUMENTS, d ˈɒ k jʊ m ə n t s
DOES, d ə z
DOES, d ˈɐ z
DOG, d ˈɒ g
DOGGY, d ˈɒ g iː
DOGS, d ˈɒ g z
DOGS, d ˈɒ g z
DOING, d ˈuː ɪ ŋ
DOLE, d ˈəʊ l
DOLL, d ˈɒ l
DOLLAR, d ˈɒ l ə
DOLLAR, d ˈɒ l ə
DOLLARS, d ˈɒ l ə z
DOLLARS, d ˈɒ l ə z
DOLLS, d ˈɒ l z
DOLLY, d ˈɒ l iː
DOMAIN, d ə m ˈeɪ n
DOMESTIC, d ə m ˈɛ s t ɪ k
DOMINANT, d ˈɒ m ɪ n ə n t
DOMINATED, d ˈɒ m ɪ n ˌeɪ t ɪ d
DON, d ˈɒ n
DONALD, d ˈɒ n ə l d
DONE, d ˈɐ n
DONKEY, d ˈɒ ŋ k iː
DONKEY, d ˈɒ ŋ k iː
DONNA, d ˈɒ n ə
DOO, d ˈuː
DOOR, d ˈɔː
DOORS, d ˈɔː z
DOORWAY, d ˈɔː w ˌeɪ
DOREEN, d ə ɹ ˈiː n
DORIS, d ˈɒ ɹ ɪ s
DORIS, d ˈɒ ɹ ɪ s
DOROTHY, d ˈɒ ɹ ə θ iː
DORSET, d ˈɔː s ɪ t
DOSE, d ˈəʊ s
DOT, d ˈɒ t
DOUBLE, d ˈɐ b ə l
DOUBT, d ˈaʊ t
DOUBTS, d ˈaʊ t s
DOUG, d ˈɐ g
DOUGLAS, d ˈɐ g l ə s
DOWN, d ˈaʊ n
DOWNSTAIRS, d ˈaʊ n s t ˈɛə z
DOZEN, d ˈɐ z ə n
DRAFT, d ɹ ˈɑː f t
DRAIN, d ɹ ˈeɪ n
DRAMA, d ɹ ˈɑː m ə
DRAMATIC, d ɹ ə m ˈæ t ɪ k
DRAMATICALLY, d ɹ ə m ˈæ t ɪ k l iː
DRAMATICALLY, d ɹ ə m ˈæ t ɪ k ə l iː
DRANK, d ɹ ˈæ ŋ k
DRAUGHT, d ɹ ˈɑː f t
DRAW, d ɹ ˈɔː
DRAWER, d ɹ ˈɔː ə
DRAWERS, d ɹ ˈɔː ə z
DRAWING, d ɹ ˈɔː ɪ ŋ
DRAWINGS, d ɹ ˈɔː ɪ ŋ z
DRAWN, d ɹ ˈɔː n
DREADFUL, d ɹ ˈɛ d f ə l
DREAM, d ɹ ˈiː m
DREAMING, d ɹ ˈiː m ɪ ŋ
DREAMS, d ɹ ˈiː m z
DRESS, d ɹ ˈɛ s
DRESSED, d ɹ ˈɛ s t
DRESSES, d ɹ ˈɛ s ɪ z
DRESSING, d ɹ ˈɛ s ɪ ŋ
DREW, d ɹ ˈuː
DRIED, d ɹ ˈaɪ d
DRIES, d ɹ ˈaɪ z
DRILL, d ɹ ˈɪ l
DRINK, d ɹ ˈɪ ŋ k
DRINKING, d ɹ ˈɪ ŋ k ɪ ŋ
DRINKS, d ɹ ˈɪ ŋ k s
DRIVE, d ɹ ˈaɪ v
DRIVEN, d ɹ ˈɪ v ə n
DRIVER, d ɹ ˈaɪ v ə
DRIVERS, d ɹ ˈaɪ v ə z
DRIVES, d ɹ ˈaɪ v z
DRIVING, d ɹ ˈaɪ v ɪ ŋ
DROP, d ɹ ˈɒ p
DROP, d ɹ ˈɒ p
DROPPED, d ɹ ˈɒ p t
DROPPING, d ɹ ˈɒ p ɪ ŋ
DROPS, d ɹ ˈɒ p s
DROVE, d ɹ ˈəʊ v
DRUG, d ɹ ˈɐ g
DRUGS, d ɹ ˈɐ g z
DRUM, d ɹ ˈɐ m
DRUMS, d ɹ ˈɐ m z
DRUNK, d ɹ ˈɐ ŋ k
DRY, d ɹ ˈaɪ
DRYER, d ɹ ˈaɪ ə
DU, d ə
DU, d ˈuː
DUAL, d ˈjuː ə l
DUAN, d w ˈeɪ n
DUANE, d w ˈeɪ n
DUBLIN, d ˈɐ b l ɪ n
DUCK, d ˈɐ k
DUCKS, d ˈɐ k s
DUDE, d ˈuː d
DUE, d ˈjuː
DUENEZ, d w ɛ n ˈɛ z
DUKE, d ˈjuː k
DULL, d ˈɐ l
DUM, d ˈɐ m
DUMB, d ˈɐ m
DUMP, d ˈɐ m p
DUMPED, d ˈɐ m p t
DUMPLINGS, d ˈɐ m p l ɪ ŋ z
DUN, d ˈɐ n
DUNCAN, d ˈɐ ŋ k ə n
DURATION, d ˈjʊ ɹ ˈeɪ ʃ ə n
DURHAM, d ˈɐ ɹ ə m
DURING, d ˈjʊə ɹ ɪ ŋ
DUST, d ˈɐ s t
DUSTBIN, d ˈɐ s t b ɪ n
DUTCH, d ˈɐ tʃ
DUTIES, d ˈjuː t iː z
DUTY, d ˈjuː t iː
DWAYNE, d w ˈeɪ n
DWECK, d w ˈɛ k
DWELL, d w ˈɛ l
DWELLE, d w ˈɛ l
DWELLED, d w ˈɛ l d
DWELLING, d w ˈɛ l ɪ ŋ
DWELLINGS, d w ˈɛ l ɪ ŋ z
DWELLS, d w ˈɛ l z
DWELT, d w ˈɛ l t
DWIGGINS, d w ˈɪ g ɪ n z
DWIGHT, d w ˈaɪ t
DWINDLING, d w ˈɪ n d l ɪ ŋ
DYCE, d ˈaɪ s
DYCHE, d ˈaɪ tʃ
DYCHES, d ˈaɪ tʃ ɪ z
DYCK, d ˈaɪ k
DYE, d ˈaɪ
DYED, d ˈaɪ d
DYEING, d ˈaɪ ɪ ŋ
DYES, d ˈaɪ z
DYING, d ˈaɪ ɪ ŋ
DYK, d ˈɪ k
DYKE, d ˈaɪ k
DYKES, d ˈaɪ k s
DYMEK, d ˈɪ m ɛ k
DYNAMIC, d aɪ n ˈæ m ɪ k
DYNES, d ˈaɪ n z
DYSLEXIC, d ɪ s l ˈɛ k s ɪ k
DYSPEPTIC, d ɪ s p ˌɛ p t ɪ k
DZIK, d z ˈɪ k
E, ˈiː
E'S, ˈiː z
EACH, ˈiː tʃ
EAGER, ˈiː g ə
EAR, ˈɪə
EARLIER, ˈɜː l ɪə
EARLIEST, ˈɜː l ɪə s t
EARLY, ˈɜː l iː
EARN, ˈɜː n
EARNING, ˈɜː n ɪ ŋ
EARNINGS, ˈɜː n ɪ ŋ z
EARPHONES, ˈɪə f ˌəʊ n z
EARRINGS, ˈɪə ɹ ɪ ŋ z
EARS, ˈɪə z
EARTH, ˈɜː θ
EASE, ˈiː z
EASIER, ˈiː z ɪə
EASIEST, ˈiː z ɪə s t
EASILY, ˈiː z ɪ l iː
EAST, ˈiː s t
EASTENDERS, ˈiː s t ˌɛ n d ə z
EASTER, ˈiː s t ə
EASTERN, ˈiː s t ə n
EASY, ˈiː z iː
EAT, ˈiː t
EATEN, ˈiː t ə n
EATING, ˈiː t ɪ ŋ
EATS, ˈiː t s
EB, ˈɛ b
EBB, ˈɛ b
EBBING, ˈɛ b ɪ ŋ
EBBS, ˈɛ b z
EBLIN, ˈɛ b l ɪ n
EBLING, ˈɛ b l ɪ ŋ
ECHLIN, ˈɛ k l ɪ n
ECHLIN'S, ˈɛ k l ɪ n z
ECK, ˈɛ k
ECKES, ˈɛ k s
ECKS, ˈɛ k s
ECKSES, ˈɛ k s ɪ z
ECKSTEIN, ˈɛ k s t ˌaɪ n
ECLECTIC, ɪ k l ˈɛ k t ɪ k
ECLIPSE, ɪ k l ˈɪ p s
ECLIPSED, ɪ k l ˈɪ p s t
ECLIPSES, ɪ k l ˈɪ p s ɪ z
ECLIPSING, ɪ k l ˈɪ p s ɪ ŋ
ECLIPTIC, ɪ k l ˈɪ p t ɪ k
ECONOMIC, ˌiː k ə n ˈɒ m ɪ k
ECONOMIC, ˌɛ k ə n ˈɒ m ɪ k
ECONOMICS, ˌiː k ə n ˈɒ m ɪ k s
ECONOMICS, ˌɛ k ə n ˈɒ m ɪ k s
ECONOMIES, ɪ k ˈɒ n ə m iː z
ECONOMY, ɪ k ˈɒ n ə m iː
ED, ˈɛ d
ED'S, ˈɛ d z
EDDIE, ˈɛ d iː
EDDINGS, ˈɛ d ɪ ŋ z
EDDINS, ˈɛ d ɪ n z
EDDS, ˈɛ d z
EDELINE, ˈɛ d ɪ l aɪ n
EDELL, ɪ d ˈɛ l
EDGE, ˈɛ dʒ
EDGED, ˈɛ dʒ d
EDGES, ˈɛ dʒ ɪ z
EDGETT, ˈɛ dʒ ɪ t
EDGEWAY, ˈɛ dʒ w ˌeɪ
EDGEWAYS, ˈɛ dʒ w ˌeɪ z
EDGEWISE, ˈɛ dʒ w ˌaɪ z
EDGIN, ˈɛ dʒ ɪ n
EDGING, ˈɛ dʒ ɪ ŋ
EDICK, ˈɛ d ɪ k
EDIN, ˈɛ d ɪ n
EDINBURGH, ˈɛ d ɪ n b ɹ ɐ
EDITED, ˈɛ d ɪ t ɪ d
EDITH, ˈiː d ɪ θ
EDITHE, ˈɛ d ɪ ð
EDITING, ˈɛ d ɪ t ɪ ŋ
EDITION, ɪ d ˈɪ ʃ ə n
EDITOR, ˈɛ d ɪ t ə
EDITS, ˈɛ d ɪ t s
EDLIN, ˈɛ d l ɪ n
EDLING, ˈɛ d l ɪ ŋ
EDLYN, ˈɛ d l ɪ n
EDMUND, ˈɛ d m ə n d
EDNA, ˈɛ d n ə
EDQUIST, ˈɛ d k w ˌɪ s t
EDUCATION, ˌɛ d jʊ k ˈeɪ ʃ ə n
EDUCATIONAL, ˌɛ d jʊ k ˈeɪ ʃ ə n ə l
EDWARD, ˈɛ d w ə d
EDWIN, ˈɛ d w ɪ n
EDYTH, ˈɛ d ɪ θ
EDYTHE, ˈɛ d aɪ ð
E, ˈiː
EE, ˈiː
EF, ˈɛ f
EFFACE, ɪ f ˈeɪ s
EFFACING, ɪ f ˈeɪ s ɪ ŋ
