'D(1), d
DEDICATED, d ˈɛ d ɪ k eɪ t ɪ d
DEE, d ˈiː
DEED, d ˈiː d
DEEMED, d ˈiː m d
DEEP, d ˈiː p
DEEPER, d ˈiː p ə
DEEPLY, d ˈiː p l iː
DEER, d ˈɪə
DEES, d ˈiː z
DEFAULT(1), d ˈiː f ɔː l t
DEFAULT(2), d ɪ f ˈɔː l t
DEFEAT, d ɪ f ˈiː t
DEFEATED, d ɪ f ˈiː t ɪ d
DEFECT(1), d ˈiː f ɛ k t
DEFECT(2), d ɪ f ˈɛ k t
DEFECTIVE, d ɪ f ˈɛ k t ɪ v
DEFECTS(1), d ˈiː f ɛ k t s
DEFECTS(2), d ɪ f ˈɛ k t s
DEFENCE, d ɪ f ˈɛ n s
DEFENCES, d ɪ f ˈɛ n s ɪ z
DEFEND, d ɪ f ˈɛ n d
DEFENDANT, d ɪ f ˈɛ n d ə n t
DEFENDANTS, d ɪ f ˈɛ n d ə n t s
DEFENDER, d ɪ f ˈɛ n d ə
DEFENDING, d ɪ f ˈɛ n d ɪ ŋ
DEFENSE, d ɪ f ˈɛ n s
DEFENSIVE, d ɪ f ˈɛ n s ɪ v
DEFERRED, d ɪ f ˈɜː d
DEFICIT, d ˈɛ f ɪ s ɪ t
DEFINE, d ɪ f ˈaɪ n
DEFINED, d ɪ f ˈaɪ n d
DEFINES, d ɪ f ˈaɪ n z
DEFINING, d ɪ f ˈaɪ n ɪ ŋ
DEFINITE, d ˈɛ f ɪ n ɪ t
DEFINITELY, d ˈɛ f ɪ n ɪ t l iː
DEFINITION, d ˌɛ f ɪ n ˈɪ ʃ ə n
DEFINITIONS, d ˌɛ f ɪ n ˈɪ ʃ ə n z
DEGREE, d ɪ g ɹ ˈiː
DEGREES, d ɪ g ɹ ˈiː z
DELAWARE, d ˈɛ l ə w ˌɛə
DELAY, d ɪ l ˈeɪ
DELAYED, d ɪ l ˈeɪ d
DELAYS, d ɪ l ˈeɪ z
DELEGATE(1), d ˈɛ l ɪ g ə t
DELEGATE(2), d ˈɛ l ɪ g ˌeɪ t
DELEGATES(1), d ˈɛ l ɪ g ə t s
DELEGATES(2), d ˈɛ l ɪ g ˌeɪ t s
DELEGATION, d ˌɛ l ɪ g ˈeɪ ʃ ə n
DELETE, d ɪ l ˈiː t
DELETED, d ɪ l ˈiː t ɪ d
DELHI, d ˈɛ l iː
DELIBERATE(1), d ɪ l ˈɪ b ɹ ə t
DELIBERATE(2), d ɪ l ˈɪ b ə ɹ ə t
DELIBERATE(3), d ɪ l ˈɪ b ə ɹ ˌeɪ t
DELIBERATELY(1), d ɪ l ˈɪ b ɹ ə t l iː
DELIBERATELY(2), d ɪ l ˈɪ b ə ɹ ə t l iː
DELICATE, d ˈɛ l ɪ k ə t
DELICIOUS, d ɪ l ˈɪ ʃ ə s
DELIGHT, d ɪ l ˈaɪ t
DELIGHTED, d ɪ l ˈaɪ t ɪ d
DELIGHTFUL, d ɪ l ˈaɪ t f ə l
DELIVER, d ɪ l ˈɪ v ə
DELIVERED, d ɪ l ˈɪ v ə d
DELIVERING, d ɪ l ˈɪ v ə ɹ ɪ ŋ
DELIVERS, d ɪ l ˈɪ v ə z
DELIVERY, d ɪ l ˈɪ v ə ɹ iː
DELL, d ˈɛ l
DELTA, d ˈɛ l t ə
DELUXE(1), d ɪ l ˈɐ k s
DELUXE(2), d ɪ l ˈʊ k s
DEMAND, d ɪ m ˈɑː n d
DEMANDED, d ɪ m ˈɑː n d ɪ d
DEMANDING, d ɪ m ˈɑː n d ɪ ŋ
DEMANDS, d ɪ m ˈɑː n d z
DEMO, d ˈɛ m əʊ
DEMOCRACY, d ɪ m ˈɒ k ɹ ə s iː
DEMOCRAT, d ˈɛ m ə k ɹ ˌæ t
DEMOCRATIC, d ˌɛ m ə k ɹ ˈæ t ɪ k
DEMOCRATS, d ˈɛ m ə k ɹ ˌæ t s
DEMOGRAPHIC, d ˌɛ m ə g ɹ ˈæ f ɪ k
DEMOLISH, d ɪ m ˈɒ l ɪ ʃ
DEMON, d ˈiː m ə n
DEMONS, d ˈiː m ə n z
DEMONSTRATE, d ˈɛ m ə n s t ɹ ˌeɪ t
DEMONSTRATED, d ˈɛ m ə n s t ɹ ˌeɪ t ɪ d
DEMONSTRATES, d ˈɛ m ə n s t ɹ ˌeɪ t s
DEMONSTRATION, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n
DEMONSTRATIONS, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n z
DEMONSTRATORS, d ˈɛ m ə n s t ɹ ˌeɪ t ə z
DEN, d ˈɛ n
DENIAL, d ɪ n ˈaɪ ə l
DENIED, d ɪ n ˈaɪ d
DENIES, d ɪ n ˈaɪ z
DENIS, d ˈɛ n ɪ s
DENISE, d ɪ n ˈiː s
DENMARK, d ˈɛ n m ˌɑː k
DENNIS, d ˈɛ n ɪ s
DENSE, d ˈɛ n s
DENSITY, d ˈɛ n s ɪ t iː
DENTAL, d ˈɛ n t ə l
DENTIST, d ˈɛ n t ɪ s t
DENTISTS, d ˈɛ n t ɪ s t s
DENVER, d ˈɛ n v ə
DENY, d ɪ n ˈaɪ
DEPART, d ɪ p ˈɑː t
DEPARTMENT, d ɪ p ˈɑː t m ə n t
DEPARTMENTAL, d ˌiː p ɑː t m ˈɛ n t ə l
DEPARTMENTS, d ɪ p ˈɑː t m ə n t s
DEPARTURE, d ɪ p ˈɑː tʃ ə
DEPEND, d ɪ p ˈɛ n d
DEPENDENCE, d ɪ p ˈɛ n d ə n s
DEPENDENCY, d ɪ p ˈɛ n d ə n s iː
DEPENDENT, d ɪ p ˈɛ n d ə n t
DEPENDING, d ɪ p ˈɛ n d ɪ ŋ
DEPENDS, d ɪ p ˈɛ n d z
DEPLOYMENT, d ɪ p l ˈɔɪ m ə n t
DEPOSIT, d ɪ p ˈɒ z ɪ t
DEPOSITS, d ɪ p ˈɒ z ɪ t s
DEPOT, d ˈɛ p əʊ
DEPRESSED, d ɪ p ɹ ˈɛ s t
DEPRESSION, d ɪ p ɹ ˈɛ ʃ ə n
DEPRIVATION, d ˌɛ p ɹ ɪ v ˈeɪ ʃ ə n
DEPTH, d ˈɛ p θ
DEPTHS, d ˈɛ p θ s
DEPUTIES, d ˈɛ p j ʊ t iː z
DEPUTY, d ˈɛ p j ʊ t iː
DERBY(1), d ˈɑː b iː
DERBY(2), d ˈɜː b iː
DERBYSHIRE, d ˈɑː b ɪ ʃ ə
DEREK, d ˈɛ ɹ ɪ k
DERIVE, d ə ɹ ˈaɪ v
DERIVED, d ə ɹ ˈaɪ v d
DESCENDING, d ɪ s ˈɛ n d ɪ ŋ
DESCENT, d ɪ s ˈɛ n t
DESCRIBE, d ɪ s k ɹ ˈaɪ b
DESCRIBED, d ɪ s k ɹ ˈaɪ b d
DESCRIBES, d ɪ s k ɹ ˈaɪ b z
DESCRIBING, d ɪ s k ɹ ˈaɪ b ɪ ŋ
DESCRIPTION, d ɪ s k ɹ ˈɪ p ʃ ə n
DESCRIPTIONS, d ɪ s k ɹ ˈɪ p ʃ ə n z
DESERT(1), d ɪ z ˈɜː t
DESERT(2), d ˈɛ z ə t
DESERVE, d ɪ z ˈɜː v
DESERVED, d ɪ z ˈɜː v d
DESERVES, d ɪ z ˈɜː v z
DESIGN, d ɪ z ˈaɪ n
DESIGNATED, d ˈɛ z ɪ g n ˌeɪ t ɪ d
DESIGNATION, d ˌɛ z ɪ g n ˈeɪ ʃ ə n
DESIGNED, d ɪ z ˈaɪ n d
DESIGNER, d ɪ z ˈaɪ n ə
DESIGNERS, d ɪ z ˈaɪ n ə z
DESIGNING, d ɪ z ˈaɪ n ɪ ŋ
DESIGNS, d ɪ z ˈaɪ n z
DESIRABLE, d ɪ z ˈaɪ ə ɹ ə b ə l
DESIRE, d ɪ z ˈaɪ ə
DESIRED, d ɪ z ˈaɪ ə d
DESIRES, d ɪ z ˈaɪ ə z
DESK, d ˈɛ s k
DESKTOP, d ˈɛ s k t ˌɒ p
DESKTOPS, d ˈɛ s k t ˌɒ p s
DESPAIR, d ɪ s p ˈɛə
DESPERATE(1), d ˈɛ s p ɹ ɪ t
DESPERATE(2), d ˈɛ s p ə ɹ ɪ t
DESPERATELY(1), d ˈɛ s p ɹ ə t l iː
DESPERATELY(2), d ˈɛ s p ə ɹ ə t l iː
DESPITE, d ɪ s p ˈaɪ t
DESSERT, d ɪ z ˈɜː t
DESTINATION, d ˌɛ s t ɪ n ˈeɪ ʃ ə n
DESTINATIONS, d ˌɛ s t ɪ n ˈeɪ ʃ ə n z
DESTINY, d ˈɛ s t ɪ n iː
DESTROY, d ɪ s t ɹ ˈɔɪ
DESTROYED, d ɪ s t ɹ ˈɔɪ d
DESTRUCTION, d ɪ s t ɹ ˈɐ k ʃ ə n
DESTRUCTIVE, d ɪ s t ɹ ˈɐ k t ɪ v
DETAIL, d ˈiː t eɪ l
DETAILED, d ˈiː t eɪ l d
DETAILS, d ˈiː t eɪ l z
DETECT, d ɪ t ˈɛ k t
DETECTED, d ɪ t ˈɛ k t ɪ d
DETECTION, d ɪ t ˈɛ k ʃ ə n
DETECTIVE, d ɪ t ˈɛ k t ɪ v
DETECTIVES, d ɪ t ˈɛ k t ɪ v z
DETECTOR, d ɪ t ˈɛ k t ə
DETENTION, d ɪ t ˈɛ n ʃ ə n
DETERIORATE, d ɪ t ˈɪə ɹ ɪə ɹ ˌeɪ t
DETERIORATION, d ɪ t ˈɪə ɹ ɪə ɹ ˌeɪ ʃ ə n
DETERMINATION, d ɪ t ˌɜː m ɪ n ˈeɪ ʃ ə n
DETERMINE, d ɪ t ˈɜː m ɪ n
DETERMINED, d ɪ t ˈɜː m ɪ n d
DETERMINES, d ɪ t ˈɜː m ɪ n z
DETERMINING, d ɪ t ˈɜː m ɪ n ɪ ŋ
DETROIT, d ɪ t ɹ ˈɔɪ t
DEUTSCH, d ˈɔɪ tʃ
DEV, d ˈɛ v
DEVELOP, d ɪ v ˈɛ l ə p
DEVELOPED, d ɪ v ˈɛ l ə p t
DEVELOPER, d ɪ v ˈɛ l ə p ə
DEVELOPERS, d ɪ v ˈɛ l ə p ə z
DEVELOPING, d ɪ v ˈɛ l ə p ɪ ŋ
DEVELOPMENT, d ɪ v ˈɛ l ə p m ə n t
DEVELOPMENTAL, d ɪ v ˌɛ l ə p m ˈɛ n t ə l
DEVELOPMENTS, d ɪ v ˈɛ l ə p m ə n t s
DEVELOPS, d ɪ v ˈɛ l ə p s
DEVIANT, d ˈiː v ɪə n t
DEVIATION, d ˌiː v ɪ ˈeɪ ʃ ə n
DEVICE, d ɪ v ˈaɪ s
DEVICES, d ɪ v ˈaɪ s ɪ z
DEVIL, d ˈɛ v ə l
DEVON, d ˈɛ v ə n
DEVOTED, d ɪ v ˈəʊ t ɪ d
DIABETES, d ˌaɪ ə b ˈiː t iː z
DIAGNOSIS, d ˌaɪ ə g n ˈəʊ s ɪ s
DIAGNOSTIC, d ˌaɪ ə g n ˈɒ s t ɪ k
DIAGRAM, d ˈaɪ ə g ɹ ˌæ m
DIAL(1), d ˈaɪ l
DIAL(2), d ˈaɪ ə l
DIALOG, d ˈaɪ ə l ɒ g
DIALOGUE, d ˈaɪ ə l ˌɒ g
DIAMETER, d aɪ ˈæ m ɪ t ə
DIAMOND, d ˈaɪ ə m ə n d
DIAMONDS, d ˈaɪ ə m ə n d z
DIANA, d aɪ ˈæ n ə
DIANE, d aɪ ˈæ n
DIARY, d ˈaɪ ə ɹ iː
DICE, d ˈaɪ s
DICK, d ˈɪ k
DICKHEAD, d ˈɪ k h ˌɛ d
DICKS, d ˈɪ k s
DICTATE, d ɪ k t ˈeɪ t
DICTIONARIES, d ˈɪ k ʃ ə n ə ɹ iː z
DICTIONARY, d ˈɪ k ʃ ə n ə ɹ iː
DID(1), d ɪ d
DID(2), d ˈɪ d
DIDN'T, d ˈɪ d n t
DIE, d ˈaɪ
DIED, d ˈaɪ d
DIEGO, d ɪ ˈeɪ g əʊ
DIES, d ˈaɪ z
DIESEL, d ˈiː z ə l
DIET, d ˈaɪ ə t
DIETARY, d ˈaɪ ə t ə ɹ iː
DIFF, d ˈɪ f
DIFFER, d ˈɪ f ə
DIFFERENCE(1), d ˈɪ f ɹ ə n s
DIFFERENCE(2), d ˈɪ f ə ɹ ə n s
DIFFERENCES(1), d ˈɪ f ɹ ə n s ɪ z
DIFFERENCES(2), d ˈɪ f ə ɹ ə n s ɪ z
DIFFERENT(1), d ˈɪ f ɹ ə n t
DIFFERENT(2), d ˈɪ f ə ɹ ə n t
DIFFERENTIAL, d ˌɪ f ə ɹ ˈɛ n ʃ ə l
DIFFERENTIATE, d ˌɪ f ə ɹ ɛ n tʃ ɪ ˈeɪ t
DIFFERENTIATION, d ˌɪ f ə ɹ ɛ n tʃ ɪ ˈeɪ ʃ ə n
DIFFERENTLY(1), d ˈɪ f ɹ ə n t l iː
DIFFERENTLY(2), d ˈɪ f ə ɹ ə n t l iː
DIFFICULT, d ˈɪ f ɪ k ə l t
DIFFICULTIES, d ˈɪ f ɪ k ə l t iː z
DIFFICULTY, d ˈɪ f ɪ k ə l t iː
DIFFS, d ˈɪ f s
DIG, d ˈɪ g
DIGEST(1), d aɪ dʒ ˈɛ s t
DIGEST(2), d ɪ dʒ ˈɛ s t
DIGEST(3), d ˈaɪ dʒ ɛ s t
DIGGER, d ˈɪ g ə
DIGGING, d ˈɪ g ɪ ŋ
DIGIT, d ˈɪ dʒ ɪ t
DIGITAL, d ˈɪ dʒ ɪ t ə l
DIGNITY, d ˈɪ g n ɪ t iː
DILDO, d ˈɪ l d əʊ
DILDOS, d ˈɪ l d əʊ z
DILEMMA, d ɪ l ˈɛ m ə
DIM, d ˈɪ m
DIMENSION(1), d aɪ m ˈɛ n ʃ ə n
DIMENSION(2), d ɪ m ˈɛ n ʃ ə n
DIMENSIONAL(1), d aɪ m ˈɛ n ʃ ə n ə l
DIMENSIONAL(2), d ɪ m ˈɛ n ʃ ə n ə l
DIMENSIONS(1), d aɪ m ˈɛ n ʃ ə n z
DIMENSIONS(2), d ɪ m ˈɛ n ʃ ə n z
DING, d ˈɪ ŋ
DINING, d ˈaɪ n ɪ ŋ
DINNER, d ˈɪ n ə
DINNERS, d ˈɪ n ə z
DIOXIDE, d aɪ ˈɒ k s ˌaɪ d
DIP, d ˈɪ p
DIPLOMA, d ɪ p l ˈəʊ m ə
DIPLOMATIC, d ˌɪ p l ə m ˈæ t ɪ k
DIRECT(1), d aɪ ɹ ˈɛ k t
DIRECT(2), d ɪ ɹ ˈɛ k t
DIRECTED(1), d aɪ ɹ ˈɛ k t ɪ d
DIRECTED(2), d ɪ ɹ ˈɛ k t ɪ d
DIRECTION(1), d aɪ ɹ ˈɛ k ʃ ə n
DIRECTION(2), d ɪ ɹ ˈɛ k ʃ ə n
DIRECTIONS(1), d aɪ ɹ ˈɛ k ʃ ə n z
DIRECTIONS(2), d ɪ ɹ ˈɛ k ʃ ə n z
DIRECTIVE(1), d aɪ ɹ ˈɛ k t ɪ v
DIRECTIVE(2), d ɪ ɹ ˈɛ k t ɪ v
DIRECTLY(1), d aɪ ɹ ˈɛ k t l iː
DIRECTLY(2), d ɪ ɹ ˈɛ k t l iː
DIRECTOR(1), d aɪ ɹ ˈɛ k t ə
DIRECTOR(2), d ɪ ɹ ˈɛ k t ə
DIRECTORIES(1), d aɪ ɹ ˈɛ k t ə ɹ iː z
DIRECTORIES(2), d ɪ ɹ ˈɛ k t ə ɹ iː z
DIRECTORS(1), d aɪ ɹ ˈɛ k t ə z
DIRECTORS(2), d ɪ ɹ ˈɛ k t ə z
DIRECTORY(1), d aɪ ɹ ˈɛ k t ə ɹ iː
DIRECTORY(2), d ɪ ɹ ˈɛ k t ə ɹ iː
DIRT, d ˈɜː t
DIRTY, d ˈɜː t iː
DISABILITIES, d ɪ s ə b ˈɪ l ɪ t iː z
DISABILITY, d ˌɪ s ə b ˈɪ l ɪ t iː
DISABLE, d ɪ s ˈeɪ b ə l
DISABLED, d ɪ s ˈeɪ b ə l d
DISADVANTAGE, d ˌɪ s ə d v ˈɑː n t ɪ dʒ
DISAGREE, d ɪ s ə g ɹ ˈiː
DISAGREEMENT, d ɪ s ə g ɹ ˈiː m ə n t
DISAPPEAR, d ˌɪ s ə p ˈɪə
DISAPPEARED, d ˌɪ s ə p ˈɪə d
DISAPPOINTED, d ˌɪ s ə p ˈɔɪ n t ɪ d
DISAPPOINTMENT, d ˌɪ s ə p ˈɔɪ n t m ə n t
DISASTER, d ɪ z ˈɑː s t ə
DISASTROUS, d ɪ z ˈɑː s t ɹ ə s
DISC, d ˈɪ s k
DISCHARGE(1), d ˈɪ s tʃ ˌɑː dʒ
DISCHARGE(2), d ɪ s tʃ ˈɑː dʒ
DISCIPLINARY, d ˈɪ s ə p l ˌɪ n ə ɹ iː
DISCIPLINE, d ˈɪ s ə p l ɪ n
DISCIPLINES, d ˈɪ s ə p l ɪ n z
DISCLAIMER, d ɪ s k l ˈeɪ m ə
DISCLAIMERS, d ɪ s k l ˈeɪ m ə z
DISCLOSE, d ɪ s k l ˈəʊ z
DISCLOSURE, d ɪ s k l ˈəʊ ʒ ə
DISCO, d ˈɪ s k əʊ
DISCOUNT(1), d ˈɪ s k aʊ n t
DISCOUNT(2), d ɪ s k ˈaʊ n t
DISCOUNTED, d ˈɪ s k ˌaʊ n t ɪ d
DISCOUNTS(1), d ˈɪ s k ˌaʊ n t s
DISCOUNTS(2), d ɪ s k ˈaʊ n t s
DISCOURSE, d ˈɪ s k ɔː s
DISCOVER, d ɪ s k ˈɐ v ə
DISCOVERED, d ɪ s k ˈɐ v ə d
DISCOVERY(1), d ɪ s k ˈɐ v ɹ iː
DISCOVERY(2), d ɪ s k ˈɐ v ə ɹ iː
DISCRETE, d ɪ s k ɹ ˈiː t
DISCRETION, d ɪ s k ɹ ˈɛ ʃ ə n
DISCRIMINATION, d ɪ s k ɹ ˌɪ m ɪ n ˈeɪ ʃ ə n
DISCS, d ˈɪ s k s
DISCUSS, d ɪ s k ˈɐ s
DISCUSSED, d ɪ s k ˈɐ s t
DISCUSSES, d ɪ s k ˈɐ s ɪ z
DISCUSSING, d ɪ s k ˈɐ s ɪ ŋ
DISCUSSION, d ɪ s k ˈɐ ʃ ə n
DISCUSSIONS, d ɪ s k ˈɐ ʃ ə n z
DISEASE, d ɪ z ˈiː z
DISEASES, d ɪ z ˈiː z ɪ z
DISGRACE, d ɪ s g ɹ ˈeɪ s
DISGUSTING, d ɪ s g ˈɐ s t ɪ ŋ
DISH, d ˈɪ ʃ
DISHES, d ˈɪ ʃ ɪ z
DISHWASHER, d ˈɪ ʃ w ˌɒ ʃ ə
DISK, d ˈɪ s k
DISKS, d ˈɪ s k s
DISLIKE, d ɪ s l ˈaɪ k
DISMISS, d ɪ s m ˈɪ s
DISMISSAL, d ɪ s m ˈɪ s ə l
DISMISSED, d ɪ s m ˈɪ s t
DISNEY, d ˈɪ z n iː
DISORDER, d ɪ s ˈɔː d ə
DISORDERS, d ɪ s ˈɔː d ə z
DISPATCH, d ɪ s p ˈæ tʃ
DISPATCHED, d ɪ s p ˈæ tʃ t
DISPLAY, d ɪ s p l ˈeɪ
DISPLAYED, d ɪ s p l ˈeɪ d
DISPLAYING, d ɪ s p l ˈeɪ ɪ ŋ
DISPLAYS, d ɪ s p l ˈeɪ z
DISPOSAL, d ɪ s p ˈəʊ z ə l
DISPOSITION, d ˌɪ s p ə z ˈɪ ʃ ə n
DISPUTE, d ɪ s p j ˈuː t
DISPUTES, d ɪ s p j ˈuː t s
DISRUPTION, d ɪ s ɹ ˈɐ p ʃ ə n
DISSOLUTION, d ˌɪ s ə l ˈuː ʃ ə n
DISTANCE, d ˈɪ s t ə n s
DISTANCES, d ˈɪ s t ə n s ɪ z
DISTANT, d ˈɪ s t ə n t
DISTINCT, d ɪ s t ˈɪ ŋ k t
DISTINCTION, d ɪ s t ˈɪ ŋ k ʃ ə n
DISTINCTIONS, d ɪ s t ˈɪ ŋ k ʃ ə n z
DISTINCTIVE, d ɪ s t ˈɪ ŋ k t ɪ v
DISTINCTLY, d ɪ s t ˈɪ ŋ k t l iː
DISTINGUISH, d ɪ s t ˈɪ ŋ g w ɪ ʃ
DISTINGUISHED, d ɪ s t ˈɪ ŋ g w ɪ ʃ t
DISTORT, d ɪ s t ˈɔː t
DISTRESS, d ɪ s t ɹ ˈɛ s
DISTRIBUTE, d ɪ s t ɹ ˈɪ b j uː t
DISTRIBUTED, d ɪ s t ɹ ˈɪ b j ʊ t ɪ d
DISTRIBUTION, d ˌɪ s t ɹ ɪ b j ˈuː ʃ ə n
DISTRIBUTIONS, d ˌɪ s t ɹ ɪ b j ˈuː ʃ ə n z
DISTRIBUTOR, d ɪ s t ɹ ˈɪ b j ʊ t ə
DISTRIBUTORS, d ɪ s t ɹ ˈɪ b j ʊ t ə z
DISTRICT, d ˈɪ s t ɹ ɪ k t
DISTRICTS, d ˈɪ s t ɹ ɪ k t s
DISTURB, d ɪ s t ˈɜː b
DISTURBANCE, d ɪ s t ˈɜː b ə n s
DISTURBED, d ɪ s t ˈɜː b d
DISTURBING, d ɪ s t ˈɜː b ɪ ŋ
DIV, d ˈɪ v
DIVE, d ˈaɪ v
DIVERSE(1), d aɪ v ˈɜː s
DIVERSE(2), d ˈaɪ v ɜː s
DIVERSITY, d aɪ v ˈɜː s ɪ t iː
DIVERT, d ˈaɪ v ɜː t
DIVIDE, d ɪ v ˈaɪ d
DIVIDED, d ɪ v ˈaɪ d ɪ d
DIVIDEND, d ˈɪ v ɪ d ˌɛ n d
DIVIDENDS, d ˈɪ v ɪ d ˌɛ n d z
DIVINE, d ɪ v ˈaɪ n
DIVING, d ˈaɪ v ɪ ŋ
DIVISION, d ɪ v ˈɪ ʒ ə n
DIVISIONS, d ɪ v ˈɪ ʒ ə n z
DIVORCE, d ɪ v ˈɔː s
DIVORCED, d ɪ v ˈɔː s t
DIZZY, d ˈɪ z iː
DO, d ˈuː
DOC, d ˈɒ k
DOCK, d ˈɒ k
DOCS, d ˈɒ k z
DOCTOR, d ˈɒ k t ə
DOCTORS, d ˈɒ k t ə z
DOCTRINE, d ˈɒ k t ɹ ɪ n
DOCUMENT, d ˈɒ k j ʊ m ɛ n t
DOCUMENTARY, d ˌɒ k j ʊ m ˈɛ n t ə ɹ iː
DOCUMENTATION, d ˌɒ k j ʊ m ɛ n t ˈeɪ ʃ ə n
DOCUMENTED, d ˈɒ k j ʊ m ˌɛ n t ɪ d
DOCUMENTS, d ˈɒ k j ʊ m ə n t s
DODGE, d ˈɒ dʒ
DOE, d ˈəʊ
DOES(1), d ə z
DOES(2), d ˈɐ z
DOES(3), d ˈəʊ z
DOESN'T, d ˈɐ z ə n t
DOG, d ˈɒ g
DOGGY, d ˈɒ g iː
DOGS, d ˈɒ g z
DOING, d ˈuː ɪ ŋ
DOLE, d ˈəʊ l
DOLL, d ˈɒ l
DOLLAR, d ˈɒ l ə
DOLLARS, d ˈɒ l ə z
DOLLS, d ˈɒ l z
DOLLY, d ˈɒ l iː
DOLPHIN, d ˈɒ l f ɪ n
DOLPHINS, d ˈɒ l f ɪ n z
DOMAIN, d ə m ˈeɪ n
DOMAINS(1), d əʊ m ˈeɪ n z
DOMAINS(2), d ə m ˈeɪ n z
DOME, d ˈəʊ m
DOMESTIC, d ə m ˈɛ s t ɪ k
DOMINANCE, d ˈɒ m ɪ n ə n s
DOMINANT, d ˈɒ m ɪ n ə n t
DOMINATE, d ˈɒ m ɪ n ˌeɪ t
DOMINATED, d ˈɒ m ɪ n ˌeɪ t ɪ d
DOMINATION, d ˌɒ m ɪ n ˈeɪ ʃ ə n
DOMINICAN, d ə m ˈɪ n ɪ k ə n
DON, d ˈɒ n
DON'T, d ˈəʊ n t
DONALD, d ˈɒ n ə l d
DONATE, d ˈəʊ n ˌeɪ t
DONATED, d ˈəʊ n ˌeɪ t ɪ d
DONATION, d əʊ n ˈeɪ ʃ ə n
DONATIONS, d əʊ n ˈeɪ ʃ ə n z
DONE, d ˈɐ n
DONKEY, d ˈɒ ŋ k iː
DONNA, d ˈɒ n ə
DONOR, d ˈəʊ n ə
DONORS, d ˈəʊ n ə z
DOOM, d ˈuː m
DOOR, d ˈɔː
DOORBELL, d ˈɔː b ˌɛ l
DOORS, d ˈɔː z
DOORWAY, d ˈɔː w ˌeɪ
DOPE, d ˈəʊ p
DOREEN, d ə ɹ ˈiː n
DORIS, d ˈɒ ɹ ɪ s
DORMICE, d ˈɔː m ˌaɪ s
DORMOUSE, d ˈɔː m ˌaʊ s
DOROTHY, d ˈɒ ɹ ə θ iː
DORSET, d ˈɔː s ɪ t
DOS, d ˈɒ s
DOSAGE, d ˈəʊ s ɪ dʒ
DOSE, d ˈəʊ s
DOT, d ˈɒ t
DOUBLE, d ˈɐ b ə l
DOUBT, d ˈaʊ t
DOUBTFUL, d ˈaʊ t f ə l
DOUBTLESS, d ˈaʊ t l ə s
DOUBTS, d ˈaʊ t s
DOUG, d ˈɐ g
DOUGH, d ˈəʊ
DOUGLAS, d ˈɐ g l ə s
DOVER, d ˈəʊ v ə
DOWN, d ˈaʊ n
DOWNLOAD, d ˈaʊ n l ˌəʊ d
DOWNLOADABLE, d ˈaʊ n l ˌəʊ d ɪ b ə l
DOWNLOADED, d ˈaʊ n l ˌəʊ d ɪ d
DOWNLOADING, d ˈaʊ n l ˌəʊ d ɪ ŋ
DOWNLOADS, d ˈaʊ n l ˌəʊ d z
DOWNSTAIRS(1), d ˈaʊ n s t ˌɛə z
DOWNSTAIRS(2), d aʊ n s t ˈɛə z
DOWNTOWN, d ˈaʊ n t ˌaʊ n
DOZEN, d ˈɐ z ə n
DOZENS, d ˈɐ z ə n z
DRAFT, d ɹ ˈɑː f t
DRAG, d ɹ ˈæ g
DRAGGED, d ɹ ˈæ g d
DRAGON, d ɹ ˈæ g ə n
DRAIN, d ɹ ˈeɪ n
DRAINAGE, d ɹ ˈeɪ n ɪ dʒ
DRAMA, d ɹ ˈɑː m ə
DRAMATIC, d ɹ ə m ˈæ t ɪ k
DRAMATICALLY(1), d ɹ ə m ˈæ t ɪ k l iː
DRAMATICALLY(2), d ɹ ə m ˈæ t ɪ k ə l iː
DRANK, d ɹ ˈæ ŋ k
DRAUGHT, d ɹ ˈɑː f t
DRAW, d ɹ ˈɔː
DRAWER, d ɹ ˈɔː ə
DRAWERS, d ɹ ˈɔː ə z
DRAWING, d ɹ ˈɔː ɪ ŋ
DRAWINGS, d ɹ ˈɔː ɪ ŋ z
DRAWN, d ɹ ˈɔː n
DRAWS, d ɹ ˈɔː z
DREADFUL, d ɹ ˈɛ d f ə l
DREAM, d ɹ ˈiː m
DREAMED, d ɹ ˈiː m d
DREAMING, d ɹ ˈiː m ɪ ŋ
DREAMS, d ɹ ˈiː m z
DREAMT, d ɹ ˈɛ m t
DRESS, d ɹ ˈɛ s
DRESSED, d ɹ ˈɛ s t
DRESSES, d ɹ ˈɛ s ɪ z
DRESSING, d ɹ ˈɛ s ɪ ŋ
DREW, d ɹ ˈuː
DRIED, d ɹ ˈaɪ d
DRIES, d ɹ ˈaɪ z
DRIFT, d ɹ ˈɪ f t
DRILL, d ɹ ˈɪ l
DRILLING, d ɹ ˈɪ l ɪ ŋ
DRINK, d ɹ ˈɪ ŋ k
DRINKING, d ɹ ˈɪ ŋ k ɪ ŋ
DRINKS, d ɹ ˈɪ ŋ k s
DRIVE, d ɹ ˈaɪ v
DRIVEN, d ɹ ˈɪ v ə n
DRIVER, d ɹ ˈaɪ v ə
DRIVERS, d ɹ ˈaɪ v ə z
DRIVES, d ɹ ˈaɪ v z
DRIVING, d ɹ ˈaɪ v ɪ ŋ
DROP, d ɹ ˈɒ p
