'COS, k ˈə z
DIFFS, d ˈɪ f s
DIFFUSION, d ɪ f j ˈuː ʒ ə n
DIG, d ˈɪ g
DIGEST(1), d aɪ dʒ ˈɛ s t
DIGEST(2), d ɪ dʒ ˈɛ s t
DIGEST(3), d ˈaɪ dʒ ɛ s t
DIGGER, d ˈɪ g ə
DIGGING, d ˈɪ g ɪ ŋ
DIGIT, d ˈɪ dʒ ɪ t
DIGITAL, d ˈɪ dʒ ɪ t ə l
DIGNITY, d ˈɪ g n ɪ t i
DILATE, d ˌaɪ l ˌeɪ t
DILATED, d ˌaɪ l ˌeɪ t ɪ d
DILDO, d ˈɪ l d əʊ
DILDOS, d ˈɪ l d əʊ z
DILEMMA, d ɪ l ˈɛ m ə
DILL, d ˈɪ l
DILUTE, d aɪ l ˈuː t
DILUTED, d aɪ l ˈuː t ɪ d
DILUTES, d aɪ l ˈuː t s
DIM, d ˈɪ m
DIME, d ˈaɪ m
DIMENSION(1), d aɪ m ˈɛ n ʃ ə n
DIMENSION(2), d ɪ m ˈɛ n ʃ ə n
DIMENSIONAL(1), d aɪ m ˈɛ n ʃ ə n ə l
DIMENSIONAL(2), d ɪ m ˈɛ n ʃ ə n ə l
DIMENSIONS(1), d aɪ m ˈɛ n ʃ ə n z
DIMENSIONS(2), d ɪ m ˈɛ n ʃ ə n z
DIMINISH, d ɪ m ˈɪ n ɪ ʃ
DIMLY, d ˈɪ m l i
DIMPLE, d ˈɪ m p ə l
DIN, d ˈɪ n
DINE, d ˈaɪ n
DINER, d ˈaɪ n ə
DING, d ˈɪ ŋ
DINGHY, d ˈɪ ŋ i
DINGY, d ˈɪ n dʒ i
DINING, d ˈaɪ n ɪ ŋ
DINNER, d ˈɪ n ə
DINNERS, d ˈɪ n ə z
DIOXIDE, d aɪ ˈɒ k s ˌaɪ d
DIP, d ˈɪ p
DIPHTHONG(1), d ˈɪ f θ ɒ ŋ
DIPHTHONG(2), d ˈɪ p θ ɒ ŋ
DIPLOMA, d ɪ p l ˈəʊ m ə
DIPLOMATIC, d ˌɪ p l ə m ˈæ t ɪ k
DIRE, d ˈaɪ ə
DIRECT(1), d aɪ ɹ ˈɛ k t
DIRECT(2), d ɪ ɹ ˈɛ k t
DIRECTED(1), d aɪ ɹ ˈɛ k t ɪ d
DIRECTED(2), d ɪ ɹ ˈɛ k t ɪ d
DIRECTION(1), d aɪ ɹ ˈɛ k ʃ ə n
DIRECTION(2), d ɪ ɹ ˈɛ k ʃ ə n
DIRECTIONS(1), d aɪ ɹ ˈɛ k ʃ ə n z
DIRECTIONS(2), d ɪ ɹ ˈɛ k ʃ ə n z
DIRECTIVE(1), d aɪ ɹ ˈɛ k t ɪ v
DIRECTIVE(2), d ɪ ɹ ˈɛ k t ɪ v
DIRECTLY(1), d aɪ ɹ ˈɛ k t l i
DIRECTLY(2), d ɪ ɹ ˈɛ k t l i
DIRECTOR(1), d aɪ ɹ ˈɛ k t ə
DIRECTOR(2), d ɪ ɹ ˈɛ k t ə
DIRECTORIES(1), d aɪ ɹ ˈɛ k t ə ɹ i z
DIRECTORIES(2), d ɪ ɹ ˈɛ k t ə ɹ i z
DIRECTORS(1), d aɪ ɹ ˈɛ k t ə z
DIRECTORS(2), d ɪ ɹ ˈɛ k t ə z
DIRECTORY(1), d aɪ ɹ ˈɛ k t ə ɹ i
DIRECTORY(2), d ɪ ɹ ˈɛ k t ə ɹ i
DIRGE, d ˈɜː dʒ
DIRIGIBLE, d ɪ ɹ ˈɪ dʒ ɪ b ə l
DIRK, d ˈɜː k
DIRT, d ˈɜː t
DIRTY, d ˈɜː t i
DISABILITIES, d ɪ s ə b ˈɪ l ɪ t i z
DISABILITY, d ˌɪ s ə b ˈɪ l ɪ t i
DISABLE, d ɪ s ˈeɪ b ə l
DISABLED, d ɪ s ˈeɪ b ə l d
DISADVANTAGE, d ˌɪ s ə d v ˈɑː n t ɪ dʒ
DISAGREE, d ɪ s ə g ɹ ˈiː
DISAGREEMENT, d ɪ s ə g ɹ ˈiː m ə n t
DISAPPEAR, d ˌɪ s ə p ˈɪə
DISAPPEARED, d ˌɪ s ə p ˈɪə d
DISAPPOINTED, d ˌɪ s ə p ˈɔɪ n t ɪ d
DISAPPOINTMENT, d ˌɪ s ə p ˈɔɪ n t m ə n t
DISASTER, d ɪ z ˈɑː s t ə
DISASTROUS, d ɪ z ˈɑː s t ɹ ə s
DISC, d ˈɪ s k
DISCARD, d ɪ s k ˈɑː d
DISCHARGE(1), d ˈɪ s tʃ ˌɑː dʒ
DISCHARGE(2), d ɪ s tʃ ˈɑː dʒ
DISCIPLE, d ɪ s ˈaɪ p ə l
DISCIPLINARY, d ˈɪ s ɪ p l ˌɪ n ə ɹ i
DISCIPLINE, d ˈɪ s ɪ p l ɪ n
DISCIPLINES, d ˈɪ s ɪ p l ɪ n z
DISCLAIMER, d ɪ s k l ˈeɪ m ə
DISCLAIMERS, d ɪ s k l ˈeɪ m ə z
DISCLOSE, d ɪ s k l ˈəʊ z
DISCLOSURE, d ɪ s k l ˈəʊ ʒ ə
DISCO, d ˈɪ s k əʊ
DISCOMFORT, d ɪ s k ˈɐ m f ə t
DISCOUNT(1), d ˈɪ s k aʊ n t
DISCOUNT(2), d ɪ s k ˈaʊ n t
DISCOUNTED, d ˈɪ s k ˌaʊ n t ɪ d
DISCOUNTS(1), d ˈɪ s k ˌaʊ n t s
DISCOUNTS(2), d ɪ s k ˈaʊ n t s
DISCOURAGE, d ɪ s k ˈɐ ɹ ɪ dʒ
DISCOURSE, d ˈɪ s k ɔː s
DISCOVER, d ɪ s k ˈɐ v ə
DISCOVERED, d ɪ s k ˈɐ v ə d
DISCOVERY(1), d ɪ s k ˈɐ v ɹ i
DISCOVERY(2), d ɪ s k ˈɐ v ə ɹ i
DISCRETE, d ɪ s k ɹ ˈiː t
DISCRETION, d ɪ s k ɹ ˈɛ ʃ ə n
DISCRIMINATE(1), d ɪ s k ɹ ˈɪ m ɪ n ˌeɪ t
DISCRIMINATE(2), d ɪ s k ɹ ˈɪ m ɪ n ɪ t
DISCRIMINATION, d ɪ s k ɹ ˌɪ m ɪ n ˈeɪ ʃ ə n
DISCS, d ˈɪ s k s
DISCUSS, d ɪ s k ˈɐ s
DISCUSSED, d ɪ s k ˈɐ s t
DISCUSSES, d ɪ s k ˈɐ s ɪ z
DISCUSSING, d ɪ s k ˈɐ s ɪ ŋ
DISCUSSION, d ɪ s k ˈɐ ʃ ə n
DISCUSSIONS, d ɪ s k ˈɐ ʃ ə n z
DISEASE, d ɪ z ˈiː z
DISEASES, d ɪ z ˈiː z ɪ z
DISFUNCTIONAL, d ɪ s f ˈɐ ŋ k ʃ ə n ə l
DISGRACE, d ɪ s g ɹ ˈeɪ s
DISGUISE, d ɪ s g ˈaɪ z
DISGUSTING, d ɪ s g ˈɐ s t ɪ ŋ
DISH, d ˈɪ ʃ
DISHES, d ˈɪ ʃ ɪ z
DISHWASHER, d ˈɪ ʃ w ˌɒ ʃ ə
DISINGENIOUS, d ˌɪ s ɪ n dʒ ˈɛ n j ʊə s
DISJUNCTION, d ɪ s dʒ ˈɐ ŋ k ʃ ə n
DISK, d ˈɪ s k
DISKS, d ˈɪ s k s
DISLIKE, d ɪ s l ˈaɪ k
DISMANTLE, d ɪ s m ˈæ n t ə l
DISMISS, d ɪ s m ˈɪ s
DISMISSAL, d ɪ s m ˈɪ s ə l
DISMISSED, d ɪ s m ˈɪ s t
DISNEY, d ˈɪ z n i
DISORDER, d ɪ s ˈɔː d ə
DISORDERS, d ɪ s ˈɔː d ə z
DISPATCH, d ɪ s p ˈæ tʃ
DISPATCHED, d ɪ s p ˈæ tʃ t
DISPEL, d ɪ s p ˈɛ l
DISPENSE, d ɪ s p ˈɛ n s
DISPERSE, d ɪ s p ˈɜː s
DISPLACE, d ɪ s p l ˈeɪ s
DISPLACED, d ɪ s p l ˈeɪ s t
DISPLACEMENT, d ɪ s p l ˈeɪ s m ə n t
DISPLAY, d ɪ s p l ˈeɪ
DISPLAYED, d ɪ s p l ˈeɪ d
DISPLAYING, d ɪ s p l ˈeɪ ɪ ŋ
DISPLAYS, d ɪ s p l ˈeɪ z
DISPOSAL, d ɪ s p ˈəʊ z ə l
DISPOSE, d ɪ s p ˈəʊ z
DISPOSITION, d ˌɪ s p ə z ˈɪ ʃ ə n
DISPROVE, d ɪ s p ɹ ˈuː v
DISPROVED, d ɪ s p ɹ ˈuː v d
DISPROVEN, d ɪ s p ɹ ˈuː v ə n
DISPUTE, d ɪ s p j ˈuː t
DISPUTES, d ɪ s p j ˈuː t s
DISREGARD, d ˌɪ s ɹ ɪ g ˈɑː d
DISRUPT, d ɪ s ɹ ˈɐ p t
DISRUPTION, d ɪ s ɹ ˈɐ p ʃ ə n
DISSECTION(1), d aɪ s ˈɛ k ʃ ə n
DISSECTION(2), d ɪ s ˈɛ k ʃ ə n
DISSEMINATION, d ɪ s ˌɛ m ɪ n ˈeɪ ʃ ə n
DISSERTATION, d ɪ s ə t ˈeɪ ʃ ə n
DISSIPATE, d ˈɪ s ɪ p ˌeɪ t
DISSOLUTION, d ˌɪ s ə l ˈuː ʃ ə n
DISSOLVE, d ɪ z ˈɒ l v
DISTANCE, d ˈɪ s t ə n s
DISTANCES, d ˈɪ s t ə n s ɪ z
DISTANT, d ˈɪ s t ə n t
DISTINCT, d ɪ s t ˈɪ ŋ k t
DISTINCTION, d ɪ s t ˈɪ ŋ k ʃ ə n
DISTINCTIONS, d ɪ s t ˈɪ ŋ k ʃ ə n z
DISTINCTIVE, d ɪ s t ˈɪ ŋ k t ɪ v
DISTINCTLY, d ɪ s t ˈɪ ŋ k t l i
DISTINGUISH, d ɪ s t ˈɪ ŋ g w ɪ ʃ
DISTINGUISHED, d ɪ s t ˈɪ ŋ g w ɪ ʃ t
DISTORT, d ɪ s t ˈɔː t
DISTRACT, d ɪ s t ɹ ˈæ k t
DISTRACTED, d ɪ s t ɹ ˈæ k t ɪ d
DISTRESS, d ɪ s t ɹ ˈɛ s
DISTRIBUTE, d ɪ s t ɹ ˈɪ b j uː t
DISTRIBUTED, d ɪ s t ɹ ˈɪ b j ʊ t ɪ d
DISTRIBUTION, d ˌɪ s t ɹ ɪ b j ˈuː ʃ ə n
DISTRIBUTIONS, d ˌɪ s t ɹ ɪ b j ˈuː ʃ ə n z
DISTRIBUTOR, d ɪ s t ɹ ˈɪ b j ʊ t ə
DISTRIBUTORS, d ɪ s t ɹ ˈɪ b j ʊ t ə z
DISTRICT, d ˈɪ s t ɹ ɪ k t
DISTRICTS, d ˈɪ s t ɹ ɪ k t s
DISTURB, d ɪ s t ˈɜː b
DISTURBANCE, d ɪ s t ˈɜː b ə n s
DISTURBED, d ɪ s t ˈɜː b d
DISTURBING, d ɪ s t ˈɜː b ɪ ŋ
DITCH, d ˈɪ tʃ
DIV, d ˈɪ v
DIVE, d ˈaɪ v
DIVED, d ˈaɪ v d
DIVER, d ˈaɪ v ə
DIVERSE(1), d aɪ v ˈɜː s
DIVERSE(2), d ˈaɪ v ɜː s
DIVERSITY, d aɪ v ˈɜː s ɪ t i
DIVERT, d ˈaɪ v ɜː t
DIVIDE, d ɪ v ˈaɪ d
DIVIDED, d ɪ v ˈaɪ d ɪ d
DIVIDEND, d ˈɪ v ɪ d ˌɛ n d
DIVIDENDS, d ˈɪ v ɪ d ˌɛ n d z
DIVINE, d ɪ v ˈaɪ n
DIVING, d ˈaɪ v ɪ ŋ
DIVISION, d ɪ v ˈɪ ʒ ə n
DIVISIONS, d ɪ v ˈɪ ʒ ə n z
DIVORCE, d ɪ v ˈɔː s
DIVORCED, d ɪ v ˈɔː s t
DIZZY, d ˈɪ z i
DO, d ˈuː
DOC, d ˈɒ k
DOCK, d ˈɒ k
DOCS, d ˈɒ k s
DOCTOR, d ˈɒ k t ə
DOCTORAL, d ˈɒ k t ə ɹ ə l
DOCTORS, d ˈɒ k t ə z
DOCTRINE, d ˈɒ k t ɹ ɪ n
DOCUMENT(1), d ˈɒ k j ʊ m ɛ n t
DOCUMENT(2), d ˈɒ k j ʊ m ə n t
DOCUMENTARY, d ˌɒ k j ʊ m ˈɛ n t ə ɹ i
DOCUMENTATION, d ˌɒ k j ʊ m ɛ n t ˈeɪ ʃ ə n
DOCUMENTED, d ˈɒ k j ʊ m ˌɛ n t ɪ d
DOCUMENTS(1), d ˈɒ k j ʊ m ɛ n t s
DOCUMENTS(2), d ˈɒ k j ʊ m ə n t s
DODGE, d ˈɒ dʒ
DODGY, d ˈɒ dʒ i
DODO, d ˈəʊ d əʊ
DOE, d ˈəʊ
DOER, d ˈuː ə
DOES(1), d ə z
DOES(2), d ˈɐ z
DOES(3), d ˈəʊ z
DOESN'T, d ˈɐ z ə n t
DOG, d ˈɒ g
DOGGY, d ˈɒ g i
DOGMA, d ˈɒ g m ə
DOGS, d ˈɒ g z
DOING, d ˈuː ɪ ŋ
DOLE, d ˈəʊ l
DOLL, d ˈɒ l
DOLLAR, d ˈɒ l ə
DOLLARS, d ˈɒ l ə z
DOLLS, d ˈɒ l z
DOLLY, d ˈɒ l i
DOLPHIN, d ˈɒ l f ɪ n
DOLPHINS, d ˈɒ l f ɪ n z
DOMAIN(1), d ə m ˈeɪ n
DOMAIN(2), d əʊ m ˈeɪ n
DOMAINS(1), d əʊ m ˈeɪ n z
DOMAINS(2), d ə m ˈeɪ n z
DOME, d ˈəʊ m
DOMESTIC, d ə m ˈɛ s t ɪ k
DOMINANCE, d ˈɒ m ɪ n ə n s
DOMINANT, d ˈɒ m ɪ n ə n t
DOMINATE, d ˈɒ m ɪ n ˌeɪ t
DOMINATED, d ˈɒ m ɪ n ˌeɪ t ɪ d
DOMINATION, d ˌɒ m ɪ n ˈeɪ ʃ ə n
DOMINICAN, d ə m ˈɪ n ɪ k ə n
DOMINO, d ˈɒ m ɪ n ˈəʊ
DON, d ˈɒ n
DON'T, d ˈəʊ n t
DONALD, d ˈɒ n ə l d
DONATE, d ˈəʊ n ˌeɪ t
DONATED, d ˈəʊ n ˌeɪ t ɪ d
DONATION, d əʊ n ˈeɪ ʃ ə n
DONATIONS, d əʊ n ˈeɪ ʃ ə n z
DONE, d ˈɐ n
DONKEY, d ˈɒ ŋ k i
DONNA, d ˈɒ n ə
DONOR, d ˈəʊ n ə
DONORS, d ˈəʊ n ə z
DONUT, d ˈəʊ n ˌɐ t
DOOM, d ˈuː m
DOOR, d ˈɔː
DOORBELL, d ˈɔː b ˌɛ l
DOORS, d ˈɔː z
DOORWAY, d ˈɔː w ˌeɪ
DOPE, d ˈəʊ p
DOREEN, d ə ɹ ˈiː n
DORIS, d ˈɒ ɹ ɪ s
DORMANT, d ˈɔː m ə n t
DORMICE, d ˈɔː m ˌaɪ s
DORMOUSE, d ˈɔː m ˌaʊ s
DOROTHY, d ˈɒ ɹ ə θ i
DORSET, d ˈɔː s ɪ t
DOS, d ˈɒ s
DOSAGE, d ˈəʊ s ɪ dʒ
DOSE, d ˈəʊ s
DOT, d ˈɒ t
DOTH, d ˈuː θ
DOUBLE, d ˈɐ b ə l
DOUBLY, d ˈɐ b l i
DOUBT, d ˈaʊ t
DOUBTFUL, d ˈaʊ t f ə l
DOUBTLESS, d ˈaʊ t l ɪ s
DOUBTS, d ˈaʊ t s
DOUG, d ˈɐ g
DOUGH, d ˈəʊ
DOUGHNUT, d ˈəʊ n ˌɐ t
DOUGHTY, d ˈaʊ t i
DOUGLAS, d ˈɐ g l ə s
DOUR(1), d ˈaʊ ə
DOUR(2), d ˈʊə
DOVE, d ˈɐ v
DOVER, d ˈəʊ v ə
DOWN, d ˈaʊ n
DOWNLOAD, d ˈaʊ n l ˌəʊ d
DOWNLOADABLE, d ˈaʊ n l ˌəʊ d ɪ b ə l
DOWNLOADED, d ˈaʊ n l ˌəʊ d ɪ d
DOWNLOADING, d ˈaʊ n l ˌəʊ d ɪ ŋ
DOWNLOADS, d ˈaʊ n l ˌəʊ d z
DOWNSTAIRS(1), d ˈaʊ n s t ˌɛə z
DOWNSTAIRS(2), d aʊ n s t ˈɛə z
DOWNTOWN, d ˈaʊ n t ˌaʊ n
DOWNWARD, d ˈaʊ n w ə d
DOWNWARDS, d ˈaʊ n w ə d z
DOWRY(1), d ˈaʊ ɹ i
DOWRY(2), d ˈaʊ ə ɹ i
DOZE, d ˈəʊ z
DOZEN, d ˈɐ z ə n
DOZENS, d ˈɐ z ə n z
DRAB, d ɹ ˈæ b
DRAFT, d ɹ ˈɑː f t
DRAG, d ɹ ˈæ g
DRAGGED, d ɹ ˈæ g d
DRAGON, d ɹ ˈæ g ə n
DRAIN, d ɹ ˈeɪ n
DRAINAGE, d ɹ ˈeɪ n ɪ dʒ
DRAKE, d ɹ ˈeɪ k
DRAMA, d ɹ ˈɑː m ə
DRAMATIC, d ɹ ə m ˈæ t ɪ k
DRAMATICALLY(1), d ɹ ə m ˈæ t ɪ k l i
DRAMATICALLY(2), d ɹ ə m ˈæ t ɪ k ə l i
DRANK, d ɹ ˈæ ŋ k
DRAPE, d ɹ ˈeɪ p
DRASTIC, d ɹ ˈæ s t ɪ k
DRAUGHT, d ɹ ˈɑː f t
DRAW, d ɹ ˈɔː
DRAWER, d ɹ ˈɔː ə
DRAWERS, d ɹ ˈɔː ə z
DRAWING, d ɹ ˈɔː ɪ ŋ
DRAWINGS, d ɹ ˈɔː ɪ ŋ z
DRAWL, d ɹ ˈɔː l
DRAWN, d ɹ ˈɔː n
DRAWS, d ɹ ˈɔː z
DREAD, d ɹ ˈɛ d
DREADFUL, d ɹ ˈɛ d f ə l
DREAM, d ɹ ˈiː m
DREAMED, d ɹ ˈiː m d
DREAMING, d ɹ ˈiː m ɪ ŋ
DREAMS, d ɹ ˈiː m z
DREAMT, d ɹ ˈɛ m t
DRESS, d ɹ ˈɛ s
DRESSED, d ɹ ˈɛ s t
DRESSES, d ɹ ˈɛ s ɪ z
DRESSING, d ɹ ˈɛ s ɪ ŋ
DREW, d ɹ ˈuː
DRIED, d ɹ ˈaɪ d
DRIES, d ɹ ˈaɪ z
DRIFT, d ɹ ˈɪ f t
DRILL, d ɹ ˈɪ l
DRILLING, d ɹ ˈɪ l ɪ ŋ
DRINK, d ɹ ˈɪ ŋ k
DRINKING, d ɹ ˈɪ ŋ k ɪ ŋ
DRINKS, d ɹ ˈɪ ŋ k s
DRIP, d ɹ ˈɪ p
DRIVE, d ɹ ˈaɪ v
DRIVEN, d ɹ ˈɪ v ə n
DRIVER, d ɹ ˈaɪ v ə
DRIVERS, d ɹ ˈaɪ v ə z
DRIVES, d ɹ ˈaɪ v z
DRIVING, d ɹ ˈaɪ v ɪ ŋ
DRONE, d ɹ ˈəʊ n
DROOL, d ɹ ˈuː l
DROOP, d ɹ ˈuː p
DROP, d ɹ ˈɒ p
DROPPED, d ɹ ˈɒ p t
DROPPING, d ɹ ˈɒ p ɪ ŋ
DROPS, d ɹ ˈɒ p s
DROUGHT, d ɹ ˈaʊ t
DROVE, d ɹ ˈəʊ v
DROWN, d ɹ ˈaʊ n
DROWNED, d ɹ ˈaʊ n d
DRUG, d ɹ ˈɐ g
DRUGS, d ɹ ˈɐ g z
DRUM, d ɹ ˈɐ m
DRUMS, d ɹ ˈɐ m z
DRUNK, d ɹ ˈɐ ŋ k
DRY, d ɹ ˈaɪ
DRYER, d ɹ ˈaɪ ə
DUAL, d j ˈuː ə l
DUB, d ˈɐ b
DUBAI, d uː b ˈaɪ
DUBIOUS, d j ˈuː b ɪə s
DUBLIN, d ˈɐ b l ɪ n
DUCK, d ˈɐ k
DUCKS, d ˈɐ k s
DUD, d ˈɐ d
DUDE, d ˈuː d
DUDLEY, d ˈɐ d l i
DUE, d j ˈuː
DUEL, d j ˈuː ə l
DUES, d j ˈuː z
DUET, d j uː ˈɛ t
DUG, d ˈɐ g
DUH, d ˈɜː
DUKE, d j ˈuː k
DULL, d ˈɐ l
DULWICH, d ˈɐ l ɪ tʃ
DULY, d j ˈuː l i
DUMB, d ˈɐ m
DUMFRIES, d ɐ m f ɹ ˈiː s
DUMMY, d ˈɐ m i
DUMP, d ˈɐ m p
DUMPED, d ˈɐ m p t
DUMPLINGS, d ˈɐ m p l ɪ ŋ z
DUN, d ˈɐ n
DUNBARTONSHIRE, d ɐ n b ˈɑː t ə n ʃ ə
DUNCAN, d ˈɐ ŋ k ə n
DUNDEE, d ɐ n d ˈiː
DUNE, d j ˈuː n
DUNG, d ˈɐ ŋ
DUNGEON, d ˈɐ n dʒ ə n
DUNK, d ˈɐ ŋ k
DUO, d j ˈuː əʊ
DUPE, d j ˈuː p
DUPLICATE(1), d j ˈuː p l ɪ k ɪ t
DUPLICATE(2), d j ˈuː p l ɪ k ˌeɪ t
DURABLE, d j ˈʊə ɹ ə b ə l
DURATION, d j ʊ ɹ ˈeɪ ʃ ə n
DURHAM, d ˈɐ ɹ ə m
DURING, d j ˈʊə ɹ ɪ ŋ
DUSK, d ˈɐ s k
DUST, d ˈɐ s t
DUSTBIN, d ˈɐ s t b ɪ n
DUSTY, d ˈɐ s t i
DUTCH, d ˈɐ tʃ
DUTIES, d j ˈuː t i z
DUTY, d j ˈuː t i
DUVET, d ˈuː v eɪ
DWARF, d w ˈɔː f
DWARFS, d w ˈɔː f s
DWARVES, d w ˈɔː v z
DWELL, d w ˈɛ l
DWELLED, d w ˈɛ l d
DWELLING, d w ˈɛ l ɪ ŋ
DWELLINGS, d w ˈɛ l ɪ ŋ z
DWELT, d w ˈɛ l t
DYE, d aɪ
DYED, d aɪ d
DYEING, d ˈaɪ ɪ ŋ
DYES, d aɪ z
DYING, d ˈaɪ ɪ ŋ
DYKE, d ˈaɪ k
DYLAN, d ˈɪ l ə n
DYNAMIC, d aɪ n ˈæ m ɪ k
DYNAMICS, d aɪ n ˈæ m ɪ k s
DYNAMITE, d ˈaɪ n ə m ˌaɪ t
DYNASTY, d ˈɪ n ə s t i
E, ˈiː
E'S, ˈiː z
EACH, ˈiː tʃ
EAGER, ˈiː g ə
EAGLE, ˈiː g ə l
EAGLES, ˈiː g ə l z
EALING, ˈiː l ɪ ŋ
EAR, ˈɪə
EARL, ˈɜː l
EARLIER, ˈɜː l ɪə
EARLIEST, ˈɜː l ɪə s t
EARLY, ˈɜː l i
EARN, ˈɜː n
EARNED, ˈɜː n d
EARNING, ˈɜː n ɪ ŋ
EARNINGS, ˈɜː n ɪ ŋ z
EARPHONES, ˈɪə f ˌəʊ n z
EARRINGS, ˈɪə ɹ ɪ ŋ z
EARS, ˈɪə z
EARTH, ˈɜː θ
EARTHQUAKE, ˈɜː θ k w ˌeɪ k
EASE, ˈiː z
EASIER, ˈiː z iː ə
EASIEST, ˈiː z i ɪ s t
EASILY, ˈiː z ɪ l i
EAST, ˈiː s t
EASTBOURNE, ˈiː s t b ˌɔː n
EASTENDERS, ˈiː s t ˌɛ n d ə z
EASTER, ˈiː s t ə
EASTERN, ˈiː s t ə n
EASY, ˈiː z i
EAT, ˈiː t
EATEN, ˈiː t ə n
EATING, ˈiː t ɪ ŋ
EATS, ˈiː t s
EAVE, ˈiː v
EAVES, ˈiː v z
EAVESDROP, ˈiː v z d ɹ ˌɒ p
EBAY, ˈiː b ˌeɪ
EBB, ˈɛ b
EBONY, ˈɛ b ə n i
EBOOKS, ˈiː b ˌʊ k s
ECCLESIASTICAL, ɪ k l ɪ z ɪ ˈæ s t ɪ k ə l
ECHO, ˈɛ k əʊ
ECHOES, ˈɛ k əʊ z
ECKS, ˈɛ k s
ECKSES, ˈɛ k s ɪ z
ECLIPSE, ɪ k l ˈɪ p s
ECO(1), ˈiː k əʊ
ECO(2), ˈɛ k əʊ
ECOLOGICAL(1), ˌiː k ə l ˈɒ dʒ ɪ k ə l
ECOLOGICAL(2), ˌɛ k ə l ˈɒ dʒ ɪ k ə l
ECOLOGY, ɪ k ˈɒ l ə dʒ i
ECOMMERCE, ˈiː k ˌɒ m ɜː s
ECONOMIC(1), ˌiː k ə n ˈɒ m ɪ k
ECONOMIC(2), ˌɛ k ə n ˈɒ m ɪ k
ECONOMICALLY(1), ˌɛ k ə n ˈɒ m ɪ k l i
ECONOMICALLY(2), ˌiː k ə n ˈɒ m ɪ k l i
ECONOMICS(1), ˌiː k ə n ˈɒ m ɪ k s
ECONOMICS(2), ˌɛ k ə n ˈɒ m ɪ k s
ECONOMIES, ɪ k ˈɒ n ə m i z
ECONOMIST, ɪ k ˈɒ n ə m ɪ s t
ECONOMISTS, ɪ k ˈɒ n ə m ɪ s t s
ECONOMY, ɪ k ˈɒ n ə m i
ECSTASY, ˈɛ k s t ə s i
ECSTATIC, ɛ k s t ˈæ t ɪ k
ECUADOR, ˈɛ k w ə d ˌɔː
EDDIE, ˈɛ d i
EDEN, ˈiː d ə n
EDGAR, ˈɛ d g ə
EDGE, ˈɛ dʒ
EDGES, ˈɛ dʒ ɪ z
EDGY, ˈɛ dʒ i
EDINBURGH, ˈɛ d ɪ n b ɹ ə
EDIT, ˈɛ d ɪ t
EDITED, ˈɛ d ɪ t ɪ d
EDITH, ˈiː d ɪ θ
EDITING, ˈɛ d ɪ t ɪ ŋ
EDITION, ɪ d ˈɪ ʃ ə n
EDITIONS, ɪ d ˈɪ ʃ ə n z
EDITOR, ˈɛ d ɪ t ə
EDITORIAL, ˌɛ d ɪ t ˈɔː ɹ ɪə l
EDITORIALS, ˌɛ d ɪ t ˈɔː ɹ ɪə l z
EDITORS, ˈɛ d ɪ t ə z
EDMUND, ˈɛ d m ə n d
EDNA, ˈɛ d n ə
EDUCATE, ˈɛ d j ʊ k ˌeɪ t
EDUCATED, ˈɛ d j ʊ k ˌeɪ t ɪ d
EDUCATION, ˌɛ d j ʊ k ˈeɪ ʃ ə n
EDUCATIONAL, ˌɛ d j ʊ k ˈeɪ ʃ ə n ə l
EDUCATORS, ˈɛ d j ʊ k ˌeɪ t ə z
EDWARD, ˈɛ d w ə d
EDWARDS, ˈɛ d w ə d z
EERIE, ˈɪə ɹ i
EF, ˈɛ f
EFFECT, ɪ f ˈɛ k t
EFFECTIVE, ɪ f ˈɛ k t ɪ v
EFFECTIVELY, ɪ f ˈɛ k t ɪ v l i
EFFECTIVENESS, ɪ f ˈɛ k t ɪ v n ɪ s
EFFECTS, ɪ f ˈɛ k t s
EFFED, ˈɛ f t
EFFICIENCY, ɪ f ˈɪ ʃ ə n s i
EFFICIENT, ɪ f ˈɪ ʃ ə n t
EFFICIENTLY, ɪ f ˈɪ ʃ ə n t l i
EFFORT, ˈɛ f ə t
EFFORTS, ˈɛ f ə t s
EFS, ˈɛ f s
EGG, ˈɛ g
EGGS, ˈɛ g z
EGO, ˈiː g əʊ
EGYPT, ˈiː dʒ ɪ p t
EGYPTIAN, ɪ dʒ ˈɪ p ʃ ə n
EH, ˈeɪ
EIGHT, ˈeɪ t
EIGHTEEN(1), ˈeɪ t iː n
EIGHTEEN(2), eɪ t ˈiː n
EIGHTEENTH(1), ˈeɪ t iː n θ
EIGHTEENTH(2), eɪ t ˈiː n θ
EIGHTH, ˈeɪ t θ
EIGHTIES, ˈeɪ t i z
EIGHTS, ˈeɪ t s
EIGHTY, ˈeɪ t i
EILEEN, aɪ l ˈiː n
EIRE, ˈɛə ɹ ə
EITHER(1), ˈaɪ ð ə
EITHER(2), ˈiː ð ə
EJACULATION, ɪ dʒ ˌæ k j ʊ l ˈeɪ ʃ ə n
EJECT, ɪ dʒ ˈɛ k t
EL, ˈɛ l
ELABORATE(1), ɪ l ˈæ b ə ɹ ɪ t
ELABORATE(2), ɪ l ˈæ b ə ɹ ˌeɪ t
ELAINE(1), ə l ˈeɪ n
ELAINE(2), ɪ l ˈeɪ n
ELASTIC, ɪ l ˈæ s t ɪ k
ELASTICITY(1), ɪ l æ s t ˈɪ s ɪ t i
